N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,CODE
1.0,삼성전자,63200.0,300.0,+0.48%,100.0,3772903.0,5969783.0,50.63,9098662.0,10.25,13.92,005930
2.0,LG에너지솔루션,525000.0,3000.0,+0.57%,500.0,1228500.0,234000.0,5.34,298742.0,213.94,10.68,373220
3.0,SK하이닉스,93400.0,2800.0,+3.09%,5000.0,679954.0,728002.0,51.29,2155401.0,7.33,16.84,000660
4.0,삼성바이오로직스,805000.0,2000.0,-0.25%,2500.0,572951.0,71174.0,10.71,41007.0,109.29,8.21,207940
5.0,삼성SDI,739000.0,16000.0,+2.21%,5000.0,508170.0,68765.0,48.38,199251.0,30.3,8.45,006400
6.0,LG화학,676000.0,6000.0,+0.90%,5000.0,477204.0,70592.0,48.58,160006.0,23.79,18.47,051910
7.0,삼성전자우,56500.0,400.0,+0.71%,100.0,464931.0,822887.0,72.0,663049.0,9.17,,005935
8.0,현대차,173700.0,2100.0,+1.22%,5000.0,371142.0,213668.0,29.55,501939.0,7.75,6.84,005380
9.0,NAVER,224000.0,1000.0,+0.45%,100.0,367470.0,164049.0,47.69,742635.0,39.46,106.72,035420
10.0,기아,73500.0,300.0,+0.41%,5000.0,297942.0,405363.0,36.48,1148763.0,6.45,14.69,000270
11.0,카카오,65000.0,700.0,+1.09%,100.0,289584.0,445514.0,26.22,2234163.0,18.64,17.1,035720
12.0,POSCO홀딩스,307000.0,2500.0,+0.82%,5000.0,259634.0,84571.0,51.86,494162.0,5.03,13.97,005490
13.0,셀트리온,161400.0,300.0,+0.19%,1000.0,227283.0,140819.0,21.2,344423.0,39.76,16.04,068270
14.0,KB금융,53000.0,2300.0,-4.16%,5000.0,216715.0,408897.0,74.3,1959000.0,4.69,9.8,105560
15.0,삼성물산,113100.0,700.0,-0.62%,100.0,211369.0,186887.0,17.03,240620.0,11.95,5.4,028260
16.0,현대모비스,213000.0,5500.0,+2.65%,5000.0,200827.0,94285.0,35.92,436340.0,8.41,6.87,012330
17.0,신한지주,39450.0,1350.0,-3.31%,5000.0,200716.0,508785.0,63.66,2029156.0,4.4,8.8,055550
18.0,LG전자,113300.0,6100.0,+5.69%,5000.0,185413.0,163648.0,26.37,1949315.0,12.96,6.32,066570
19.0,포스코케미칼,228500.0,0.0,0.00%,500.0,177003.0,77463.0,7.62,749395.0,110.07,7.92,003670
20.0,SK이노베이션,167500.0,1600.0,-0.95%,5000.0,154880.0,92466.0,25.41,406686.0,7.09,1.91,096770
21.0,SK,198000.0,2000.0,+1.02%,200.0,146816.0,74149.0,22.86,99656.0,4.29,10.19,034730
22.0,하나금융지주,46850.0,2150.0,-4.39%,5000.0,138631.0,295903.0,71.9,1671757.0,3.78,10.86,086790
23.0,삼성생명,67100.0,0.0,0.00%,500.0,134200.0,200000.0,14.72,141665.0,18.93,4.01,032830
24.0,LG,80900.0,300.0,-0.37%,5000.0,127256.0,157301.0,36.47,228529.0,5.89,12.36,003550
25.0,카카오뱅크,26100.0,200.0,+0.77%,5000.0,124427.0,476731.0,13.92,1337479.0,51.99,4.91,323410
26.0,한국전력,19170.0,130.0,-0.67%,5000.0,123065.0,641964.0,14.57,1104225.0,-0.6,-7.99,015760
27.0,KT&G,88600.0,100.0,+0.11%,5000.0,121641.0,137292.0,44.25,335387.0,10.47,10.74,033780
28.0,LG생활건강,700000.0,4000.0,+0.57%,5000.0,109327.0,15618.0,36.3,31427.0,25.71,16.65,051900
